Equipment,Map Section,SL ID,Old SL ID,House No.,Street,City,Rate,Lamp,Luminaire,Bracket,Support,Connection,Valid From Date,Lamp Date,Luminaire Date,Bracket Date,Support Date,Connection Date,Longitude,Latitude
1000935675,SY,10204,,20,GROSVENOR ST,SYDNEY,3,SON1*250,250W SON,NIL,COLUMN 10.5M-13.5M,UGR1,01/07/2020,12/08/2009,12/08/2009,29/01/2014,28/05/2007,28/05/2007,151.2060611,-33.8632908
1000935677,SY,10205,1205,16-18,GROSVENOR ST,SYDNEY,3,MBF1*250,250W MBF,T1,WOOD POLE TRL,OH,01/07/2020,10/10/1973,10/10/1973,10/10/1973,10/10/1973,10/10/1973,151.2055856,-33.8632774
1000935683,SY,10209,,,GROSVENOR ST,SYDNEY,3,SON1*250,250W SON,NIL,COLUMN 10.5M-13.5M,UGR1,01/07/2020,20/06/2007,20/06/2007,29/01/2014,20/06/2007,20/06/2007,151.2056526,-33.8634380
1000935715,SY,10246,,CnMargaret,CLARENCE ST,SYDNEY,3,MBF1*400,400W MBF,NIL,COLUMN 10.5M-13.5M,UGR1,01/07/2020,08/07/2013,08/07/2013,29/01/2014,25/05/2007,25/05/2007,151.2048906,-33.8650202
1000935717,SY,10247,,OPP 55,CLARENCE ST,SYDNEY,3,MBF1*400,400W MBF,NIL,COLUMN 10.5M-13.5M,UGR1,01/07/2020,28/05/2007,28/05/2007,29/01/2014,28/05/2007,28/05/2007,151.2048667,-33.8648226
1000935719,SY,10248,,OPP 45,CLARENCE ST,SYDNEY,3,MBF1*400,400W MBF,NIL,COLUMN 10.5M-13.5M,UGR1,01/07/2020,28/05/2007,28/05/2007,29/01/2014,28/05/2007,28/05/2007,151.2048321,-33.8645356
1000935723,SY,10250,,45,CLARENCE ST,SYDNEY,3,MBF1*400,400W MBF,NIL,COLUMN 10.5M-13.5M,UGR1,01/07/2020,28/05/2007,28/05/2007,28/02/2017,28/05/2007,28/05/2007,151.2047481,-33.8647191
1000935725,SY,10251,,55,CLARENCE ST,SYDNEY,3,MBF1*400,400W MBF,NIL,COLUMN 10.5M-13.5M,UGR1,01/07/2020,28/05/2007,28/05/2007,29/01/2014,28/05/2007,28/05/2007,151.2047857,-33.8650357
1000944000,SY,16105,,,NAPOLEON ST,SYDNEY,3,MBF1*400,400W MBF,NIL,COLUMN 10.5M-13.5M,UGR1,01/07/2020,28/05/2007,28/05/2007,14/01/2014,28/05/2007,28/05/2007,151.2033447,-33.8646891
1000944004,SY,16108,,,NAPOLEON ST,SYDNEY,3,MBF1*400,400W MBF,NIL,COLUMN 10.5M-13.5M,UGR1,01/07/2020,25/05/2007,25/05/2007,14/01/2014,25/05/2007,25/05/2007,151.2036905,-33.8648238
1000944617,SY,22107,,,NAPOLEON ST,SYDNEY,3,MBF1*400,400W MBF,NIL,COLUMN 10.5M-13.5M,UGR1,01/07/2020,22/07/2009,25/05/2007,14/01/2014,25/05/2007,25/05/2007,151.2039579,-33.8649004
1000944659,SY,22121,,,CLARENCE ST,SYDNEY,3,MBF1*400,400W MBF,NIL,COLUMN 10.5M-13.5M,UGR1,01/07/2020,28/05/2007,28/05/2007,14/01/2014,28/05/2007,28/05/2007,151.2047789,-33.8642015
1000944989,SY,26908,,,CLARENCE ST,SYDNEY,3,MBF1*400,400W MBF,NIL,COLUMN 10.5M-13.5M,UGR1,01/07/2020,08/03/2007,08/03/2007,14/01/2014,08/03/2007,08/03/2007,151.2047306,-33.8639178
1000944992,SY,26909,,,CLARENCE ST,SYDNEY,3,MBF1*250,250W MBF,T1,WOOD POLE TRL,OH,01/07/2020,08/03/2007,08/03/2007,08/03/2007,08/03/2007,08/03/2007,151.2045427,-33.8639331
1000950668,EH,0,P023254,,HENRY LAWSON DR,EAST HILLS,3,SON1*250,PRIVATE,PRIVATE,PRIVATE,OH,01/07/2020,09/06/2011,17/03/1983,17/03/1983,17/03/1983,17/03/1983,,
1000955871,PA,2331,P020550,,ADDERLEY ST W,AUBURN,1,LED1*200,200W LED ALD,T3,WOOD POLE TRL,OH,01/07/2020,23/04/2020,23/04/2020,19/09/1984,19/09/1984,19/09/1984,151.0432254,-33.8431925
1000956149,LE,16006,P271688,412,LYONS RD,FIVE DOCK,3,INC1*100,PRIVATE,PRIVATE,PRIVATE,OH,01/07/2020,22/06/1972,22/06/1972,22/06/1972,22/06/1972,22/06/1972,151.1342305,-33.8627736
1000956208,MO,0,P270324,,OAKVILLE RD,WILLOUGHBY,3,INC1*100,PRIVATE,PRIVATE,PRIVATE,OH,01/07/2020,06/06/1972,06/06/1972,06/06/1972,06/06/1972,06/06/1972,,
1000956216,MO,0,P021221,,MERRENBURN AV,NAREMBURN,3,TF2*20,PRIVATE,PRIVATE,PRIVATE,OH,01/07/2020,05/03/1976,05/03/1976,05/03/1976,05/03/1976,05/03/1976,,
1000956219,MO,0,P021222,,MERRENBURN AV,NAREMBURN,3,TF2*20,PRIVATE,PRIVATE,PRIVATE,OH,01/07/2020,05/03/1976,05/03/1976,05/03/1976,05/03/1976,05/03/1976,,
1000956223,MO,0,P021223,,MERRENBURN AV,NAREMBURN,3,TF2*20,PRIVATE,PRIVATE,PRIVATE,OH,01/07/2020,05/03/1976,05/03/1976,05/03/1976,05/03/1976,05/03/1976,,
